"","CHS_EVENT_SMAS_HISTORY_ID","CHS_EVENT_SMAS_SAMPLE_DATE","CHS_SITE_ID_CORR_YN","CHS_DATA_PROVIDER","CHS_SYS_SAMPLE_CDE","CHS_SAMPLE_NAME","CHS_SAMPLE_MATRIX_CDE","CHS_DEC_SAMPLE_TYPE_CDE","CHS_LAB_SAMPLE_TYPE_CDE","CHS_SAMPLE_SOURCE","CHS_PARENT_SAMPLE_CDE","CHS_SAMPLE_DEL_GRP","CHS_SAMPLE_DATETIME","CHS_SAMPLE_RECEIPT_DATE","CHS_SYS_LOC_CDE","CHS_CHAIN_OF_CUSTODY","CHS_SAMPLER","CHS_SAMPLING_COMPANY_CODE","CHS_COMMENT","CHS_SAMPLE_DEL_GRP_EQUIS"
"1","13-SAW-18.4","08/26/2020","","ALSRNY","13-SAW-18.4-08262020-W","13-SAW-18.4-08262020-W","WS","N","N","Field","","R2007848","08/26/2020 10:28","08/27/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"2","13-SAW-10.8","08/26/2020","","ALSRNY","13-SAW-10.8-08262020-W","13-SAW-10.8-08262020-W","WS","N","N","Field","","R2007848","08/26/2020 11:44","08/27/2020","13-SAW-10.8",NA,NA,"NYSDEC",NA,""
"3","13-SAW-7.9","08/26/2020","","ALSRNY","13-SAW-7.9-08262020-W","13-SAW-7.9-08262020-W","WS","N","N","Field","","R2007848","08/26/2020 12:34","08/27/2020","13-SAW-7.9",NA,NA,"NYSDEC",NA,""
"4","13-SAW-4.8","08/26/2020","","ALSRNY","13-SAW-4.8-08262020-W","13-SAW-4.8-08262020-W","WS","N","N","Field","","R2007848","08/26/2020 13:25","08/27/2020","13-SAW-4.8",NA,NA,"NYSDEC",NA,""
"5","13-SAW-0.2","08/26/2020","","ALSRNY","13-SAW-0.2-08262020-W","13-SAW-0.2-08262020-W","WS","N","N","Field","","R2007848","08/26/2020 14:03","08/27/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"6","13-SAW-1.4","08/26/2020","","ALSRNY","13-SAW-1.4-08262020-W","13-SAW-1.4-08262020-W","WS","N","N","Field","","R2007848","08/26/2020 14:45","08/27/2020","13-SAW-1.4",NA,NA,"NYSDEC",NA,""
"7","13-SAW-0.2","08/26/2020","","ALSRNY","13-SAW-0.2-08262020-EB","13-SAW-0.2-08262020-EB","WS","EB","N","Field","","R2007848","08/26/2020 14:50","08/27/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"8","13-SAW-18.4","08/26/2020","","ALSRNY","13-SAW-18.4-08262020-WDUP","13-SAW-18.4-08262020-W","WS","N","LR","Lab","13-SAW-18.4-08262020-W","R2007848","08/26/2020 10:28","08/27/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"9","13-SAW-0.2","08/26/2020","","ALSRNY","13-SAW-0.2-08262020-EBDUP","13-SAW-0.2-08262020-EB","WS","EB","LR","Lab","13-SAW-0.2-08262020-EB","R2007848","08/26/2020 14:50","08/27/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"10","13-SAW-18.4","08/26/2020","","ALSRNY","13-SAW-18.4-08262020-WMS","13-SAW-18.4-08262020-W","WS","N","MS","Lab","13-SAW-18.4-08262020-W","R2007848","08/26/2020 10:28","08/27/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"11","13-SAW-0.2","08/26/2020","","ALSRNY","13-SAW-0.2-08262020-WMS","13-SAW-0.2-08262020-W","WS","N","MS","Lab","13-SAW-0.2-08262020-W","R2007848","08/26/2020 14:03","08/27/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"12","13-SAW-1.4","08/26/2020","","ALSRNY","13-SAW-1.4-08262020-WMS","13-SAW-1.4-08262020-W","WS","N","MS","Lab","13-SAW-1.4-08262020-W","R2007848","08/26/2020 14:45","08/27/2020","13-SAW-1.4",NA,NA,"NYSDEC",NA,""
"13","13-SAW-0.2","08/26/2020","","ALSRNY","13-SAW-0.2-08262020-EBMS","13-SAW-0.2-08262020-EB","WS","EB","MS","Lab","13-SAW-0.2-08262020-EB","R2007848","08/26/2020 14:50","08/27/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"14","13-SAW-18.4","08/26/2020","","ALSRNY","13-SAW-18.4-08262020-WSD","13-SAW-18.4-08262020-W","WS","N","SD","Lab","13-SAW-18.4-08262020-W","R2007848","08/26/2020 10:28","08/27/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"15","13-SAW-0.2","08/26/2020","","ALSRNY","13-SAW-0.2-08262020-WSD","13-SAW-0.2-08262020-W","WS","N","SD","Lab","13-SAW-0.2-08262020-W","R2007848","08/26/2020 14:03","08/27/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"16","13-SAW-1.4","08/26/2020","","ALSRNY","13-SAW-1.4-08262020-WSD","13-SAW-1.4-08262020-W","WS","N","SD","Lab","13-SAW-1.4-08262020-W","R2007848","08/26/2020 14:45","08/27/2020","13-SAW-1.4",NA,NA,"NYSDEC",NA,""
"17","13-SAW-0.2","08/26/2020","","ALSRNY","13-SAW-0.2-08262020-EBSD","13-SAW-0.2-08262020-EB","WS","EB","SD","Lab","13-SAW-0.2-08262020-EB","R2007848","08/26/2020 14:50","08/27/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"18","13-SAW-4.8","08/26/2020","","ALSRNY","13-SAW-4.8-08262020-WMS","13-SAW-4.8-08262020-W","WS","N","MS","Lab","13-SAW-4.8-08262020-W","R2007848","08/26/2020 13:25","08/27/2020","13-SAW-4.8",NA,NA,"NYSDEC",NA,""
"19","13-SAW-4.8","08/26/2020","","ALSRNY","13-SAW-4.8-08262020-WSD","13-SAW-4.8-08262020-W","WS","N","SD","Lab","13-SAW-4.8-08262020-W","R2007848","08/26/2020 13:25","08/27/2020","13-SAW-4.8",NA,NA,"NYSDEC",NA,""
"20","13-SAW-18.4","09/17/2020","","ALSRNY","13-SAW-18.4-09172020-W","13-SAW-18.4-09172020-W","WS","N","N","Field","","R2008671","09/17/2020 10:06","09/18/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"21","13-SAW-10.8","09/17/2020","","ALSRNY","13-SAW-10.8-09172020-W","13-SAW-10.8-09172020-W","WS","N","N","Field","","R2008671","09/17/2020 10:40","09/18/2020","13-SAW-10.8",NA,NA,"NYSDEC",NA,""
"22","13-SAW-7.9","09/17/2020","","ALSRNY","13-SAW-7.9-09172020-W","13-SAW-7.9-09172020-W","WS","N","N","Field","","R2008671","09/17/2020 11:19","09/18/2020","13-SAW-7.9",NA,NA,"NYSDEC",NA,""
"23","13-SAW-4.8","09/17/2020","","ALSRNY","13-SAW-4.8-09172020-W","13-SAW-4.8-09172020-W","WS","N","N","Field","","R2008671","09/17/2020 11:57","09/18/2020","13-SAW-4.8",NA,NA,"NYSDEC",NA,""
"24","13-SAW-0.2","09/17/2020","","ALSRNY","13-SAW-0.2-09172020-W","13-SAW-0.2-09172020-W","WS","N","N","Field","","R2008671","09/17/2020 13:08","09/18/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"25","13-SAW-0.2","09/17/2020","","ALSRNY","13-SAW-0.2-09172020-W-EB","13-SAW-0.2-09172020-W-EB","WS","EB","N","Field","","R2008671","09/17/2020 13:08","09/18/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"26","13-SAW-1.4","09/17/2020","","ALSRNY","13-SAW-1.11-09172020-W","13-SAW-1.11-09172020-W","WS","N","N","Field","","R2008671","09/17/2020 12:34","09/18/2020","13-SAW-1.11",NA,NA,"NYSDEC",NA,""
"27","13-SAW-18.4","09/17/2020","","ALSRNY","13-SAW-18.4-09172020-WDUP","13-SAW-18.4-09172020-W","WS","N","LR","Lab","13-SAW-18.4-09172020-W","R2008671","09/17/2020 10:06","09/18/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"28","13-SAW-18.4","09/17/2020","","ALSRNY","13-SAW-18.4-09172020-WMS","13-SAW-18.4-09172020-W","WS","N","MS","Lab","13-SAW-18.4-09172020-W","R2008671","09/17/2020 10:06","09/18/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"29","13-SAW-10.8","09/17/2020","","ALSRNY","13-SAW-10.8-09172020-WMS","13-SAW-10.8-09172020-W","WS","N","MS","Lab","13-SAW-10.8-09172020-W","R2008671","09/17/2020 10:40","09/18/2020","13-SAW-10.8",NA,NA,"NYSDEC",NA,""
"30","13-SAW-1.4","09/17/2020","","ALSRNY","13-SAW-1.11-09172020-WMS","13-SAW-1.11-09172020-W","WS","N","MS","Lab","13-SAW-1.11-09172020-W","R2008671","09/17/2020 12:34","09/18/2020","13-SAW-1.11",NA,NA,"NYSDEC",NA,""
"31","13-SAW-18.4","09/17/2020","","ALSRNY","13-SAW-18.4-09172020-WSD","13-SAW-18.4-09172020-W","WS","N","SD","Lab","13-SAW-18.4-09172020-W","R2008671","09/17/2020 10:06","09/18/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"32","13-SAW-10.8","09/17/2020","","ALSRNY","13-SAW-10.8-09172020-WSD","13-SAW-10.8-09172020-W","WS","N","SD","Lab","13-SAW-10.8-09172020-W","R2008671","09/17/2020 10:40","09/18/2020","13-SAW-10.8",NA,NA,"NYSDEC",NA,""
"33","13-SAW-1.4","09/17/2020","","ALSRNY","13-SAW-1.11-09172020-WSD","13-SAW-1.11-09172020-W","WS","N","SD","Lab","13-SAW-1.11-09172020-W","R2008671","09/17/2020 12:34","09/18/2020","13-SAW-1.11",NA,NA,"NYSDEC",NA,""
"34","13-SAW-18.4","10/01/2020","","ALSRNY","13-SAW-18.4-10012020-W","13-SAW-18.4-10012020-W","WS","N","N","Field","","R2009200","10/01/2020 09:54","10/02/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"35","13-SAW-10.8","10/01/2020","","ALSRNY","13-SAW-10.8-10012020-W","13-SAW-10.8-10012020-W","WS","N","N","Field","","R2009200","10/01/2020 10:23","10/02/2020","13-SAW-10.8",NA,NA,"NYSDEC",NA,""
"36","13-SAW-7.9","10/01/2020","","ALSRNY","13-SAW-7.9-10012020-W","13-SAW-7.9-10012020-W","WS","N","N","Field","","R2009200","10/01/2020 10:56","10/02/2020","13-SAW-7.9",NA,NA,"NYSDEC",NA,""
"37","13-SAW-4.8","10/01/2020","","ALSRNY","13-SAW-4.8-10012020-W","13-SAW-4.8-10012020-W","WS","N","N","Field","","R2009200","10/01/2020 11:37","10/02/2020","13-SAW-4.8",NA,NA,"NYSDEC",NA,""
"38","13-SAW-0.2","10/01/2020","","ALSRNY","13-SAW-0.2-10012020-W","13-SAW-0.2-10012020-W","WS","N","N","Field","","R2009200","10/01/2020 12:43","10/02/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"39","13-SAW-1.4","10/01/2020","","ALSRNY","13-SAW-1.11-10012020-W","13-SAW-1.11-10012020-W","WS","N","N","Field","","R2009200","10/01/2020 12:09","10/02/2020","13-SAW-1.11",NA,NA,"NYSDEC",NA,""
"40","13-SAW-0.2","10/01/2020","","ALSRNY","13-SAW-0.2-10012020-W-EB","13-SAW-0.2-10012020-W-EB","WS","EB","N","Field","","R2009200","10/01/2020 12:43","10/02/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"41","13-SAW-0.2","10/01/2020","","ALSRNY","13-SAW-0.2-10012020-W-EBDUP","13-SAW-0.2-10012020-W-EB","WS","EB","LR","Lab","13-SAW-0.2-10012020-W-EB","R2009200","10/01/2020 12:43","10/02/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"42","13-SAW-18.4","10/01/2020","","ALSRNY","13-SAW-18.4-10012020-WMS","13-SAW-18.4-10012020-W","WS","N","MS","Lab","13-SAW-18.4-10012020-W","R2009200","10/01/2020 09:54","10/02/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"43","13-SAW-10.8","10/01/2020","","ALSRNY","13-SAW-10.8-10012020-WMS","13-SAW-10.8-10012020-W","WS","N","MS","Lab","13-SAW-10.8-10012020-W","R2009200","10/01/2020 10:23","10/02/2020","13-SAW-10.8",NA,NA,"NYSDEC",NA,""
"44","13-SAW-4.8","10/01/2020","","ALSRNY","13-SAW-4.8-10012020-WMS","13-SAW-4.8-10012020-W","WS","N","MS","Lab","13-SAW-4.8-10012020-W","R2009200","10/01/2020 11:37","10/02/2020","13-SAW-4.8",NA,NA,"NYSDEC",NA,""
"45","13-SAW-1.4","10/01/2020","","ALSRNY","13-SAW-1.11-10012020-WMS","13-SAW-1.11-10012020-W","WS","N","MS","Lab","13-SAW-1.11-10012020-W","R2009200","10/01/2020 12:09","10/02/2020","13-SAW-1.11",NA,NA,"NYSDEC",NA,""
"46","13-SAW-0.2","10/01/2020","","ALSRNY","13-SAW-0.2-10012020-W-EBMS","13-SAW-0.2-10012020-W-EB","WS","EB","MS","Lab","13-SAW-0.2-10012020-W-EB","R2009200","10/01/2020 12:43","10/02/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"47","13-SAW-18.4","10/01/2020","","ALSRNY","13-SAW-18.4-10012020-WSD","13-SAW-18.4-10012020-W","WS","N","SD","Lab","13-SAW-18.4-10012020-W","R2009200","10/01/2020 09:54","10/02/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"48","13-SAW-10.8","10/01/2020","","ALSRNY","13-SAW-10.8-10012020-WSD","13-SAW-10.8-10012020-W","WS","N","SD","Lab","13-SAW-10.8-10012020-W","R2009200","10/01/2020 10:23","10/02/2020","13-SAW-10.8",NA,NA,"NYSDEC",NA,""
"49","13-SAW-4.8","10/01/2020","","ALSRNY","13-SAW-4.8-10012020-WSD","13-SAW-4.8-10012020-W","WS","N","SD","Lab","13-SAW-4.8-10012020-W","R2009200","10/01/2020 11:37","10/02/2020","13-SAW-4.8",NA,NA,"NYSDEC",NA,""
"50","13-SAW-1.4","10/01/2020","","ALSRNY","13-SAW-1.11-10012020-WSD","13-SAW-1.11-10012020-W","WS","N","SD","Lab","13-SAW-1.11-10012020-W","R2009200","10/01/2020 12:09","10/02/2020","13-SAW-1.11",NA,NA,"NYSDEC",NA,""
"51","13-SAW-0.2","10/01/2020","","ALSRNY","13-SAW-0.2-10012020-W-EBSD","13-SAW-0.2-10012020-W-EB","WS","EB","SD","Lab","13-SAW-0.2-10012020-W-EB","R2009200","10/01/2020 12:43","10/02/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"52","13-SAW-18.4","10/14/2020","","ALSRNY","13-SAW-18.4-10142020-W","13-SAW-18.4-10142020-W","WS","N","N","Field","","R2009739","10/14/2020 10:05","10/16/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"53","13-SAW-10.8","10/14/2020","","ALSRNY","13-SAW-10.8-10142020-W","13-SAW-10.8-10142020-W","WS","N","N","Field","","R2009739","10/14/2020 10:55","10/16/2020","13-SAW-10.8",NA,NA,"NYSDEC",NA,""
"54","13-SAW-7.9","10/14/2020","","ALSRNY","13-SAW-7.9-10142020-W","13-SAW-7.9-10142020-W","WS","N","N","Field","","R2009739","10/14/2020 11:32","10/16/2020","13-SAW-7.9",NA,NA,"NYSDEC",NA,""
"55","13-SAW-4.8","10/14/2020","","ALSRNY","13-SAW-4.8-10142020-W","13-SAW-4.8-10142020-W","WS","N","N","Field","","R2009739","10/14/2020 12:12","10/16/2020","13-SAW-4.8",NA,NA,"NYSDEC",NA,""
"56","13-SAW-1.4","10/14/2020","","ALSRNY","13-SAW-1.11-10142020-W","13-SAW-1.11-10142020-W","WS","N","N","Field","","R2009739","10/14/2020 12:45","10/16/2020","13-SAW-1.11",NA,NA,"NYSDEC",NA,""
"57","13-SAW-0.2","10/14/2020","","ALSRNY","13-SAW-0.2-10142020-W","13-SAW-0.2-10142020-W","WS","N","N","Field","","R2009739","10/14/2020 13:18","10/16/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"58","13-SAW-0.2","10/14/2020","","ALSRNY","13-SAW-0.2-10142020-W-EB","13-SAW-0.2-10142020-W-EB","WS","EB","N","Field","","R2009739","10/14/2020 13:18","10/16/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"59","13-SAW-18.4","10/14/2020","","ALSRNY","13-SAW-18.4-10142020-WDUP","13-SAW-18.4-10142020-W","WS","N","LR","Lab","13-SAW-18.4-10142020-W","R2009739","10/14/2020 10:05","10/16/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"60","13-SAW-18.4","10/14/2020","","ALSRNY","13-SAW-18.4-10142020-WMS","13-SAW-18.4-10142020-W","WS","N","MS","Lab","13-SAW-18.4-10142020-W","R2009739","10/14/2020 10:05","10/16/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"61","13-SAW-7.9","10/14/2020","","ALSRNY","13-SAW-7.9-10142020-WMS","13-SAW-7.9-10142020-W","WS","N","MS","Lab","13-SAW-7.9-10142020-W","R2009739","10/14/2020 11:32","10/16/2020","13-SAW-7.9",NA,NA,"NYSDEC",NA,""
"62","13-SAW-0.2","10/14/2020","","ALSRNY","13-SAW-0.2-10142020-WMS","13-SAW-0.2-10142020-W","WS","N","MS","Lab","13-SAW-0.2-10142020-W","R2009739","10/14/2020 13:18","10/16/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"63","13-SAW-0.2","10/14/2020","","ALSRNY","13-SAW-0.2-10142020-W-EBMS","13-SAW-0.2-10142020-W-EB","WS","EB","MS","Lab","13-SAW-0.2-10142020-W-EB","R2009739","10/14/2020 13:18","10/16/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"64","13-SAW-18.4","10/14/2020","","ALSRNY","13-SAW-18.4-10142020-WSD","13-SAW-18.4-10142020-W","WS","N","SD","Lab","13-SAW-18.4-10142020-W","R2009739","10/14/2020 10:05","10/16/2020","13-SAW-18.4",NA,NA,"NYSDEC",NA,""
"65","13-SAW-7.9","10/14/2020","","ALSRNY","13-SAW-7.9-10142020-WSD","13-SAW-7.9-10142020-W","WS","N","SD","Lab","13-SAW-7.9-10142020-W","R2009739","10/14/2020 11:32","10/16/2020","13-SAW-7.9",NA,NA,"NYSDEC",NA,""
"66","13-SAW-0.2","10/14/2020","","ALSRNY","13-SAW-0.2-10142020-WSD","13-SAW-0.2-10142020-W","WS","N","SD","Lab","13-SAW-0.2-10142020-W","R2009739","10/14/2020 13:18","10/16/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"67","13-SAW-0.2","10/14/2020","","ALSRNY","13-SAW-0.2-10142020-W-EBSD","13-SAW-0.2-10142020-W-EB","WS","EB","SD","Lab","13-SAW-0.2-10142020-W-EB","R2009739","10/14/2020 13:18","10/16/2020","13-SAW-0.2",NA,NA,"NYSDEC",NA,""
"68","13-SAW-4.8","05/18/2021","","ALSRNY","13-SAW-4.8-05182021-W","13-SAW-4.8-05182021-W","WS","N","N","Field","","R2104870","05/18/2021 12:33","05/19/2021","13-SAW-4.8",NA,NA,"NYSDEC",NA,""
"69","13-SAW-1.4","05/18/2021","","ALSRNY","13-SAW-1.4-05182021-W","13-SAW-1.4-05182021-W","WS","N","N","Field","","R2104870","05/18/2021 13:04","05/19/2021","13-SAW-1.4",NA,NA,"NYSDEC",NA,""
