,CHS_EVENT_SMAS_HISTORY_ID,CHS_EVENT_SMAS_SAMPLE_DATE,CHS_SITE_ID_CORR_YN,CHS_DATA_PROVIDER,CHS_SYS_SAMPLE_CDE,CHS_SAMPLE_NAME,CHS_SAMPLE_MATRIX_CDE,CHS_DEC_SAMPLE_TYPE_CDE,CHS_LAB_SAMPLE_TYPE_CDE,CHS_SAMPLE_SOURCE,CHS_PARENT_SAMPLE_CDE,CHS_SAMPLE_DEL_GRP,CHS_SAMPLE_DATETIME,CHS_SAMPLE_RECEIPT_DATE,CHS_SYS_LOC_CDE,CHS_CHAIN_OF_CUSTODY,CHS_SAMPLER,CHS_SAMPLING_COMPANY_CODE,CHS_COMMENT,CHS_SAMPLE_DEL_GRP_EQUIS
118,13-SAW-18.4,8/26/2020,,ALSRNY,13-SAW-18.4-08262020-W,13-SAW-18.4-08262020-W,WS,N,N,Field,,R2007848,8/26/2020 10:28,8/27/2020,13-SAW-18.4,NA,NA,NYSDEC,NA,
119,13-SAW-10.8,8/26/2020,,ALSRNY,13-SAW-10.8-08262020-W,13-SAW-10.8-08262020-W,WS,N,N,Field,,R2007848,8/26/2020 11:44,8/27/2020,13-SAW-10.8,NA,NA,NYSDEC,NA,
120,13-SAW-7.9,8/26/2020,,ALSRNY,13-SAW-7.9-08262020-W,13-SAW-7.9-08262020-W,WS,N,N,Field,,R2007848,8/26/2020 12:34,8/27/2020,13-SAW-7.9,NA,NA,NYSDEC,NA,
121,13-SAW-4.8,8/26/2020,,ALSRNY,13-SAW-4.8-08262020-W,13-SAW-4.8-08262020-W,WS,N,N,Field,,R2007848,8/26/2020 13:25,8/27/2020,13-SAW-4.8,NA,NA,NYSDEC,NA,
122,13-SAW-0.2,8/26/2020,,ALSRNY,13-SAW-0.2-08262020-W,13-SAW-0.2-08262020-W,WS,N,N,Field,,R2007848,8/26/2020 14:03,8/27/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
123,13-SAW-1.4,8/26/2020,,ALSRNY,13-SAW-1.4-08262020-W,13-SAW-1.4-08262020-W,WS,N,N,Field,,R2007848,8/26/2020 14:45,8/27/2020,13-SAW-1.4,NA,NA,NYSDEC,NA,
124,13-SAW-0.2,8/26/2020,,ALSRNY,13-SAW-0.2-08262020-EB,13-SAW-0.2-08262020-EB,WS,EB,N,Field,,R2007848,8/26/2020 14:50,8/27/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
149,13-SAW-18.4,8/26/2020,,ALSRNY,13-SAW-18.4-08262020-WDUP,13-SAW-18.4-08262020-W,WS,N,LR,Lab,13-SAW-18.4-08262020-W,R2007848,8/26/2020 10:28,8/27/2020,13-SAW-18.4,NA,NA,NYSDEC,NA,
150,13-SAW-0.2,8/26/2020,,ALSRNY,13-SAW-0.2-08262020-EBDUP,13-SAW-0.2-08262020-EB,WS,EB,LR,Lab,13-SAW-0.2-08262020-EB,R2007848,8/26/2020 14:50,8/27/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
151,13-SAW-18.4,8/26/2020,,ALSRNY,13-SAW-18.4-08262020-WMS,13-SAW-18.4-08262020-W,WS,N,MS,Lab,13-SAW-18.4-08262020-W,R2007848,8/26/2020 10:28,8/27/2020,13-SAW-18.4,NA,NA,NYSDEC,NA,
152,13-SAW-0.2,8/26/2020,,ALSRNY,13-SAW-0.2-08262020-WMS,13-SAW-0.2-08262020-W,WS,N,MS,Lab,13-SAW-0.2-08262020-W,R2007848,8/26/2020 14:03,8/27/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
153,13-SAW-1.4,8/26/2020,,ALSRNY,13-SAW-1.4-08262020-WMS,13-SAW-1.4-08262020-W,WS,N,MS,Lab,13-SAW-1.4-08262020-W,R2007848,8/26/2020 14:45,8/27/2020,13-SAW-1.4,NA,NA,NYSDEC,NA,
154,13-SAW-0.2,8/26/2020,,ALSRNY,13-SAW-0.2-08262020-EBMS,13-SAW-0.2-08262020-EB,WS,EB,MS,Lab,13-SAW-0.2-08262020-EB,R2007848,8/26/2020 14:50,8/27/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
155,13-SAW-18.4,8/26/2020,,ALSRNY,13-SAW-18.4-08262020-WSD,13-SAW-18.4-08262020-W,WS,N,SD,Lab,13-SAW-18.4-08262020-W,R2007848,8/26/2020 10:28,8/27/2020,13-SAW-18.4,NA,NA,NYSDEC,NA,
156,13-SAW-0.2,8/26/2020,,ALSRNY,13-SAW-0.2-08262020-WSD,13-SAW-0.2-08262020-W,WS,N,SD,Lab,13-SAW-0.2-08262020-W,R2007848,8/26/2020 14:03,8/27/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
157,13-SAW-1.4,8/26/2020,,ALSRNY,13-SAW-1.4-08262020-WSD,13-SAW-1.4-08262020-W,WS,N,SD,Lab,13-SAW-1.4-08262020-W,R2007848,8/26/2020 14:45,8/27/2020,13-SAW-1.4,NA,NA,NYSDEC,NA,
158,13-SAW-0.2,8/26/2020,,ALSRNY,13-SAW-0.2-08262020-EBSD,13-SAW-0.2-08262020-EB,WS,EB,SD,Lab,13-SAW-0.2-08262020-EB,R2007848,8/26/2020 14:50,8/27/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
161,13-SAW-4.8,8/26/2020,,ALSRNY,13-SAW-4.8-08262020-WMS,13-SAW-4.8-08262020-W,WS,N,MS,Lab,13-SAW-4.8-08262020-W,R2007848,8/26/2020 13:25,8/27/2020,13-SAW-4.8,NA,NA,NYSDEC,NA,
162,13-SAW-4.8,8/26/2020,,ALSRNY,13-SAW-4.8-08262020-WSD,13-SAW-4.8-08262020-W,WS,N,SD,Lab,13-SAW-4.8-08262020-W,R2007848,8/26/2020 13:25,8/27/2020,13-SAW-4.8,NA,NA,NYSDEC,NA,
163,13-SAW-18.4,9/17/2020,,ALSRNY,13-SAW-18.4-09172020-W,13-SAW-18.4-09172020-W,WS,N,N,Field,,R2008671,9/17/2020 10:06,9/18/2020,13-SAW-18.4,NA,NA,NYSDEC,NA,
164,13-SAW-10.8,9/17/2020,,ALSRNY,13-SAW-10.8-09172020-W,13-SAW-10.8-09172020-W,WS,N,N,Field,,R2008671,9/17/2020 10:40,9/18/2020,13-SAW-10.8,NA,NA,NYSDEC,NA,
165,13-SAW-7.9,9/17/2020,,ALSRNY,13-SAW-7.9-09172020-W,13-SAW-7.9-09172020-W,WS,N,N,Field,,R2008671,9/17/2020 11:19,9/18/2020,13-SAW-7.9,NA,NA,NYSDEC,NA,
166,13-SAW-4.8,9/17/2020,,ALSRNY,13-SAW-4.8-09172020-W,13-SAW-4.8-09172020-W,WS,N,N,Field,,R2008671,9/17/2020 11:57,9/18/2020,13-SAW-4.8,NA,NA,NYSDEC,NA,
167,13-SAW-0.2,9/17/2020,,ALSRNY,13-SAW-0.2-09172020-W,13-SAW-0.2-09172020-W,WS,N,N,Field,,R2008671,9/17/2020 13:08,9/18/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
168,13-SAW-0.2,9/17/2020,,ALSRNY,13-SAW-0.2-09172020-W-EB,13-SAW-0.2-09172020-W-EB,WS,EB,N,Field,,R2008671,9/17/2020 13:08,9/18/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
169,13-SAW-1.4,9/17/2020,,ALSRNY,13-SAW-1.11-09172020-W,13-SAW-1.11-09172020-W,WS,N,N,Field,,R2008671,9/17/2020 12:34,9/18/2020,13-SAW-1.11,NA,NA,NYSDEC,NA,
192,13-SAW-18.4,9/17/2020,,ALSRNY,13-SAW-18.4-09172020-WDUP,13-SAW-18.4-09172020-W,WS,N,LR,Lab,13-SAW-18.4-09172020-W,R2008671,9/17/2020 10:06,9/18/2020,13-SAW-18.4,NA,NA,NYSDEC,NA,
193,13-SAW-18.4,9/17/2020,,ALSRNY,13-SAW-18.4-09172020-WMS,13-SAW-18.4-09172020-W,WS,N,MS,Lab,13-SAW-18.4-09172020-W,R2008671,9/17/2020 10:06,9/18/2020,13-SAW-18.4,NA,NA,NYSDEC,NA,
194,13-SAW-10.8,9/17/2020,,ALSRNY,13-SAW-10.8-09172020-WMS,13-SAW-10.8-09172020-W,WS,N,MS,Lab,13-SAW-10.8-09172020-W,R2008671,9/17/2020 10:40,9/18/2020,13-SAW-10.8,NA,NA,NYSDEC,NA,
195,13-SAW-1.4,9/17/2020,,ALSRNY,13-SAW-1.11-09172020-WMS,13-SAW-1.11-09172020-W,WS,N,MS,Lab,13-SAW-1.11-09172020-W,R2008671,9/17/2020 12:34,9/18/2020,13-SAW-1.11,NA,NA,NYSDEC,NA,
196,13-SAW-18.4,9/17/2020,,ALSRNY,13-SAW-18.4-09172020-WSD,13-SAW-18.4-09172020-W,WS,N,SD,Lab,13-SAW-18.4-09172020-W,R2008671,9/17/2020 10:06,9/18/2020,13-SAW-18.4,NA,NA,NYSDEC,NA,
197,13-SAW-10.8,9/17/2020,,ALSRNY,13-SAW-10.8-09172020-WSD,13-SAW-10.8-09172020-W,WS,N,SD,Lab,13-SAW-10.8-09172020-W,R2008671,9/17/2020 10:40,9/18/2020,13-SAW-10.8,NA,NA,NYSDEC,NA,
198,13-SAW-1.4,9/17/2020,,ALSRNY,13-SAW-1.11-09172020-WSD,13-SAW-1.11-09172020-W,WS,N,SD,Lab,13-SAW-1.11-09172020-W,R2008671,9/17/2020 12:34,9/18/2020,13-SAW-1.11,NA,NA,NYSDEC,NA,
243,13-SAW-18.4,10/1/2020,,ALSRNY,13-SAW-18.4-10012020-W,13-SAW-18.4-10012020-W,WS,N,N,Field,,R2009200,10/1/2020 9:54,10/2/2020,13-SAW-18.4,NA,NA,NYSDEC,NA,
244,13-SAW-10.8,10/1/2020,,ALSRNY,13-SAW-10.8-10012020-W,13-SAW-10.8-10012020-W,WS,N,N,Field,,R2009200,10/1/2020 10:23,10/2/2020,13-SAW-10.8,NA,NA,NYSDEC,NA,
245,13-SAW-7.9,10/1/2020,,ALSRNY,13-SAW-7.9-10012020-W,13-SAW-7.9-10012020-W,WS,N,N,Field,,R2009200,10/1/2020 10:56,10/2/2020,13-SAW-7.9,NA,NA,NYSDEC,NA,
246,13-SAW-4.8,10/1/2020,,ALSRNY,13-SAW-4.8-10012020-W,13-SAW-4.8-10012020-W,WS,N,N,Field,,R2009200,10/1/2020 11:37,10/2/2020,13-SAW-4.8,NA,NA,NYSDEC,NA,
247,13-SAW-0.2,10/1/2020,,ALSRNY,13-SAW-0.2-10012020-W,13-SAW-0.2-10012020-W,WS,N,N,Field,,R2009200,10/1/2020 12:43,10/2/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
248,13-SAW-1.4,10/1/2020,,ALSRNY,13-SAW-1.11-10012020-W,13-SAW-1.11-10012020-W,WS,N,N,Field,,R2009200,10/1/2020 12:09,10/2/2020,13-SAW-1.11,NA,NA,NYSDEC,NA,
249,13-SAW-0.2,10/1/2020,,ALSRNY,13-SAW-0.2-10012020-W-EB,13-SAW-0.2-10012020-W-EB,WS,EB,N,Field,,R2009200,10/1/2020 12:43,10/2/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
272,13-SAW-0.2,10/1/2020,,ALSRNY,13-SAW-0.2-10012020-W-EBDUP,13-SAW-0.2-10012020-W-EB,WS,EB,LR,Lab,13-SAW-0.2-10012020-W-EB,R2009200,10/1/2020 12:43,10/2/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
273,13-SAW-18.4,10/1/2020,,ALSRNY,13-SAW-18.4-10012020-WMS,13-SAW-18.4-10012020-W,WS,N,MS,Lab,13-SAW-18.4-10012020-W,R2009200,10/1/2020 9:54,10/2/2020,13-SAW-18.4,NA,NA,NYSDEC,NA,
274,13-SAW-10.8,10/1/2020,,ALSRNY,13-SAW-10.8-10012020-WMS,13-SAW-10.8-10012020-W,WS,N,MS,Lab,13-SAW-10.8-10012020-W,R2009200,10/1/2020 10:23,10/2/2020,13-SAW-10.8,NA,NA,NYSDEC,NA,
275,13-SAW-4.8,10/1/2020,,ALSRNY,13-SAW-4.8-10012020-WMS,13-SAW-4.8-10012020-W,WS,N,MS,Lab,13-SAW-4.8-10012020-W,R2009200,10/1/2020 11:37,10/2/2020,13-SAW-4.8,NA,NA,NYSDEC,NA,
276,13-SAW-1.4,10/1/2020,,ALSRNY,13-SAW-1.11-10012020-WMS,13-SAW-1.11-10012020-W,WS,N,MS,Lab,13-SAW-1.11-10012020-W,R2009200,10/1/2020 12:09,10/2/2020,13-SAW-1.11,NA,NA,NYSDEC,NA,
277,13-SAW-0.2,10/1/2020,,ALSRNY,13-SAW-0.2-10012020-W-EBMS,13-SAW-0.2-10012020-W-EB,WS,EB,MS,Lab,13-SAW-0.2-10012020-W-EB,R2009200,10/1/2020 12:43,10/2/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
278,13-SAW-18.4,10/1/2020,,ALSRNY,13-SAW-18.4-10012020-WSD,13-SAW-18.4-10012020-W,WS,N,SD,Lab,13-SAW-18.4-10012020-W,R2009200,10/1/2020 9:54,10/2/2020,13-SAW-18.4,NA,NA,NYSDEC,NA,
279,13-SAW-10.8,10/1/2020,,ALSRNY,13-SAW-10.8-10012020-WSD,13-SAW-10.8-10012020-W,WS,N,SD,Lab,13-SAW-10.8-10012020-W,R2009200,10/1/2020 10:23,10/2/2020,13-SAW-10.8,NA,NA,NYSDEC,NA,
280,13-SAW-4.8,10/1/2020,,ALSRNY,13-SAW-4.8-10012020-WSD,13-SAW-4.8-10012020-W,WS,N,SD,Lab,13-SAW-4.8-10012020-W,R2009200,10/1/2020 11:37,10/2/2020,13-SAW-4.8,NA,NA,NYSDEC,NA,
281,13-SAW-1.4,10/1/2020,,ALSRNY,13-SAW-1.11-10012020-WSD,13-SAW-1.11-10012020-W,WS,N,SD,Lab,13-SAW-1.11-10012020-W,R2009200,10/1/2020 12:09,10/2/2020,13-SAW-1.11,NA,NA,NYSDEC,NA,
282,13-SAW-0.2,10/1/2020,,ALSRNY,13-SAW-0.2-10012020-W-EBSD,13-SAW-0.2-10012020-W-EB,WS,EB,SD,Lab,13-SAW-0.2-10012020-W-EB,R2009200,10/1/2020 12:43,10/2/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
327,13-SAW-18.4,10/14/2020,,ALSRNY,13-SAW-18.4-10142020-W,13-SAW-18.4-10142020-W,WS,N,N,Field,,R2009739,10/14/2020 10:05,10/16/2020,13-SAW-18.4,NA,NA,NYSDEC,NA,
328,13-SAW-10.8,10/14/2020,,ALSRNY,13-SAW-10.8-10142020-W,13-SAW-10.8-10142020-W,WS,N,N,Field,,R2009739,10/14/2020 10:55,10/16/2020,13-SAW-10.8,NA,NA,NYSDEC,NA,
329,13-SAW-7.9,10/14/2020,,ALSRNY,13-SAW-7.9-10142020-W,13-SAW-7.9-10142020-W,WS,N,N,Field,,R2009739,10/14/2020 11:32,10/16/2020,13-SAW-7.9,NA,NA,NYSDEC,NA,
330,13-SAW-4.8,10/14/2020,,ALSRNY,13-SAW-4.8-10142020-W,13-SAW-4.8-10142020-W,WS,N,N,Field,,R2009739,10/14/2020 12:12,10/16/2020,13-SAW-4.8,NA,NA,NYSDEC,NA,
331,13-SAW-1.4,10/14/2020,,ALSRNY,13-SAW-1.11-10142020-W,13-SAW-1.11-10142020-W,WS,N,N,Field,,R2009739,10/14/2020 12:45,10/16/2020,13-SAW-1.11,NA,NA,NYSDEC,NA,
332,13-SAW-0.2,10/14/2020,,ALSRNY,13-SAW-0.2-10142020-W,13-SAW-0.2-10142020-W,WS,N,N,Field,,R2009739,10/14/2020 13:18,10/16/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
333,13-SAW-0.2,10/14/2020,,ALSRNY,13-SAW-0.2-10142020-W-EB,13-SAW-0.2-10142020-W-EB,WS,EB,N,Field,,R2009739,10/14/2020 13:18,10/16/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
355,13-SAW-18.4,10/14/2020,,ALSRNY,13-SAW-18.4-10142020-WDUP,13-SAW-18.4-10142020-W,WS,N,LR,Lab,13-SAW-18.4-10142020-W,R2009739,10/14/2020 10:05,10/16/2020,13-SAW-18.4,NA,NA,NYSDEC,NA,
356,13-SAW-18.4,10/14/2020,,ALSRNY,13-SAW-18.4-10142020-WMS,13-SAW-18.4-10142020-W,WS,N,MS,Lab,13-SAW-18.4-10142020-W,R2009739,10/14/2020 10:05,10/16/2020,13-SAW-18.4,NA,NA,NYSDEC,NA,
357,13-SAW-7.9,10/14/2020,,ALSRNY,13-SAW-7.9-10142020-WMS,13-SAW-7.9-10142020-W,WS,N,MS,Lab,13-SAW-7.9-10142020-W,R2009739,10/14/2020 11:32,10/16/2020,13-SAW-7.9,NA,NA,NYSDEC,NA,
358,13-SAW-0.2,10/14/2020,,ALSRNY,13-SAW-0.2-10142020-WMS,13-SAW-0.2-10142020-W,WS,N,MS,Lab,13-SAW-0.2-10142020-W,R2009739,10/14/2020 13:18,10/16/2020,13-SAW-0.2,NA,NA,NYSDEC,NA,
