"","CHEM_PARAMETER_NAME","CHEM_PARAMETER_FRACTION","CHEM_PARAMETER_UNIT","mean","sd","n","q95","q75","q25"
"1","ALKALINITY, TOTAL (AS CACO3)","TOTAL","mg/L",96.5724472333143,66.0848035527074,3538,221.75,138,40
"2","ALUMINUM","DISSOLVED","µg/L",36.2350787401575,93.1636743542863,1642,113.2,36,8.3
"3","ALUMINUM","TOTAL","µg/L",336.441837220371,1492.18330932396,2130,1010,204,37.8
"4","ARSENIC","TOTAL","µg/L",1.04886676286676,0.893702124341015,3378,2.40999999999999,1.3,0.55
"5","BROMODICHLOROMETHANE","TOTAL","µg/L",0.42,NA,161,0.42,0.42,0.42
"6","BROMOFORM","TOTAL","µg/L",NA,NA,54,NA,NA,NA
"7","CADMIUM","DISSOLVED","µg/L",0.204798192771084,0.334677865043684,1884,0.919199999999999,0.233,0.021
"8","CADMIUM","TOTAL","µg/L",0.158934823091248,0.36412008208403,2726,0.6,0.14,0.025
"9","CALCIUM","TOTAL","µg/L",38095.9164719626,33974.9896027274,3425,93825,52300,13600
"10","CARBON, DISSOLVED ORGANIC (DOC)","DISSOLVED","mg/L",4.56375062845651,2.35803097320186,2000,8.8,5.4,3
"11","CARBON, TOTAL","TOTAL","mg/L",4.46216216216216,3.36556708986122,74,10.18,4.775,2.6
"12","CARBON, TOTAL (DISSOLVED FRACTION)","DISSOLVED","mg/L",5.24255319148936,3.33080122759695,47,12.36,6.25,3.15
"13","CARBON, TOTAL ORGANIC","TOTAL","mg/kg",86325,63236.7179730258,4,162475,100375,52150
"14","CARBON, TOTAL ORGANIC","TOTAL","mg/L",4.38636734693878,2.57606858573487,1239,9.4,5.2,2.7
"15","CHLORIDE","TOTAL","mg/L",58.4347177658942,117.988878800583,3503,200.75,62.275,14.2
"16","CHLOROBIPHENYL, 3- (IUPAC 2)","TOTAL","pg/L",11.2985714285714,6.65590571991378,8,20.2,15,6.74
"17","CHLOROBIPHENYL, 4- (IUPAC 3)","TOTAL","pg/L",105.25,68.8457904097473,8,213.2,115.5,68.675
"18","CHLOROFORM","TOTAL","µg/L",0.99,1.0040916292849,159,1.629,1.345,0.635
"19","CHLOROMETHANE","TOTAL","µg/L",NA,NA,107,NA,NA,NA
"20","CHLOROPHYLL A","TOTAL","µg/L",4.47665541401274,9.59431954511782,1576,17.075,4.06,0.97
"21","CLAY","TOTAL","%",1.64333333333333,1.32169083626492,6,3.55,2.23,0.7825
"22","COLIFORM, FECAL",NA,"cfu/100mL",1649.595,880.985578754661,20,2419.6,2419.6,897.5
"23","CONDUCTIVITY","TOTAL","µmhos/cm",339.829526066351,305.818145222603,211,1015,422.5,139
"24","COPPER","DISSOLVED","µg/L",2.13325410334346,3.05711458427348,1735,6.1,2.2,0.89
"25","COPPER","TOTAL","µg/L",2.85066694078947,6.3796254087778,2789,7.64499999999998,2.8,0.994
"26","DECACHLOROBIPHENYL (PCB 209)","TOTAL","pg/L",88.05,40.4887474079733,16,169,105,63.375
"27","DIBROMOACETIC ACID","TOTAL","µg/L",NA,NA,48,NA,NA,NA
"28","DIBROMOCHLOROMETHANE","TOTAL","µg/L",0.12,NA,161,0.12,0.12,0.12
"29","DICHLOROACETIC ACID","TOTAL","µg/L",NA,NA,48,NA,NA,NA
"30","DICHLOROBIPHENYL","TOTAL","pg/L",13295,5394.08935780638,8,20460,16775,9975
"31","DICHLOROBIPHENYL, 2,2'- (IUPAC 4)","TOTAL","pg/L",8316.25,3254.60086427111,8,12565,10525,6375
"32","DICHLOROBIPHENYL, 2,3'- (IUPAC 6)","TOTAL","pg/L",848.775,524.622426812165,8,1470,1187.5,435.25
"33","DICHLOROBIPHENYL, 2,3- (IUPAC 5)","TOTAL","pg/L",4.46666666666667,1.85022521151706,8,6.12,5.4,3.55
"34","DICHLOROBIPHENYL, 2,4'- (IUPAC 8)","TOTAL","pg/L",1127.3375,664.147464127616,8,1877,1615,606
"35","DICHLOROBIPHENYL, 2,4- (IUPAC 7)","TOTAL","pg/L",78.6125,51.1073223017714,8,142.4,112.25,35.4
